,car,move
784,J,1
785,K,1
786,A,-1
787,F,-1
788,L,-1
789,B,-1
790,L,1
791,J,-1
792,J,1
793,H,-1
794,B,1
795,H,1
796,H,-1
797,J,-1
798,H,1
799,I,2
800,I,-2
801,A,1
802,A,-1
803,H,-1
804,G,-1
805,X,1
806,I,2
807,X,-1
808,X,1
809,H,2
810,L,-1
811,X,-1
812,E,1
813,X,1
814,D,-1
815,L,1
816,F,1
817,F,-1
818,L,-1
819,X,-1
820,D,1
821,L,1
822,G,1
823,E,-1
824,L,-1
825,G,-1
826,H,-1
827,H,1
828,E,1
829,L,1
830,X,1
831,D,-1
832,L,-1
833,L,1
834,F,1
835,F,-1
836,X,-1
837,G,2
838,D,1
839,B,-1
840,G,-1
841,L,-1
842,D,-1
843,D,1
844,L,1
845,D,-1
846,L,-1
847,L,1
848,F,1
849,D,1
850,B,1
851,E,-1
852,H,-1
853,F,-1
854,B,-1
855,B,1
856,L,-1
857,B,-1
858,I,-1
859,B,1
860,I,1
861,B,-1
862,I,-1
863,I,1
864,I,-1
865,I,-1
866,B,1
867,J,1
868,L,1
869,G,1
870,G,-2
871,J,-1
872,I,2
873,G,2
874,I,-1
875,I,1
876,I,-1
877,I,1
878,B,-1
879,I,-2
880,I,2
881,G,-1
882,I,-2
883,I,1
884,F,1
885,K,-1
886,K,1
887,I,-1
888,K,-1
889,B,1
890,J,1
891,B,-1
892,B,1
893,A,1
894,A,-1
895,G,-1
896,J,-1
897,X,1
898,I,2
899,X,-1
900,I,-1
901,K,1
902,I,1
903,H,1
904,G,1
905,A,1
906,F,-1
907,A,-1
908,E,1
909,F,1
910,D,-1
911,A,1
912,K,-1
913,D,1
914,E,-1
915,H,-1
916,K,1
917,I,-1
918,K,-1
919,K,1
920,F,-1
921,A,-1
922,L,-1
923,B,-1
924,B,1
925,B,-1
926,B,1
927,A,1
928,I,1
929,I,-1
930,A,-1
931,I,-1
932,L,1
933,A,1
934,H,-1
935,I,1
936,A,-1
937,I,1
938,H,1
939,I,-1
940,I,1
941,I,-2
942,I,2
943,F,1
944,A,1
945,F,-1
946,G,1
947,I,-1
948,I,1
949,G,-1
950,A,-1
951,L,-1
952,I,-2
953,J,1
954,B,-1
955,J,-1
956,B,1
957,J,1
958,B,-1
959,J,-1
960,L,1
961,I,2
962,I,-2
963,J,1
964,G,1
965,B,1
966,G,-2
967,J,-1
968,J,1
969,H,-1
970,H,1
971,X,1
972,J,-1
973,I,1
974,L,-1
975,I,1
976,L,1
977,H,1
978,L,-1
979,H,-1
980,I,-1
981,I,1
982,H,1
983,H,-1
984,H,1
985,E,1
986,L,1
987,E,-1
988,L,-1
989,E,1
990,X,-1
991,L,-1
992,L,2
993,F,1
994,F,-1
995,L,-1
996,E,-1
997,L,-1
998,E,1
999,L,1
1000,L,1
1001,L,-2
1002,J,-2
1003,E,2
1004,E,-1
1005,E,1
1006,E,-1
1007,E,-2
1008,J,2
1009,L,2
1010,F,2
1011,K,-1
1012,F,-1
1013,H,-1
1014,I,-2
1015,I,1
1016,X,1
1017,I,1
1018,K,1
1019,K,-1
