,car,move
762,H,1
763,F,1
764,H,-1
765,H,1
766,F,1
767,K,-1
768,X,-1
769,F,-1
770,H,-1
771,X,1
772,X,-1
773,G,1
774,K,1
775,I,-2
776,I,1
777,K,-1
778,I,1
779,I,-1
780,I,1
781,K,1
782,G,-1
783,K,-1
784,H,1
785,X,1
786,F,1
787,K,1
788,K,-1
789,X,-1
790,G,1
791,K,1
792,K,-1
793,F,-1
794,G,-1
795,H,-1
796,X,1
797,K,1
798,I,-2
799,F,-1
800,H,-1
801,J,1
802,H,1
803,X,-1
804,L,-2
805,J,-2
806,J,1
807,I,1
808,J,-2
809,I,1
810,H,1
811,E,2
812,D,-1
813,D,1
814,E,1
815,E,-2
816,E,1
817,E,-1
818,E,2
819,D,-1
820,D,1
821,E,-1
822,E,-2
823,J,2
824,J,-1
825,J,-1
826,J,1
827,J,-1
828,E,1
829,D,-1
830,D,1
831,E,-1
832,J,2
833,L,1
834,X,1
835,E,1
836,X,-1
837,D,-1
838,L,-1
839,J,-1
840,J,-1
841,J,2
842,J,-2
843,J,1
844,J,-1
845,E,1
846,E,1
847,D,1
848,E,-2
849,D,-1
850,J,2
851,L,2
852,X,1
853,L,-1
854,D,1
855,X,-1
856,L,-1
857,L,2
858,L,-1
859,D,-1
860,G,1
861,G,-1
862,G,1
863,L,1
864,G,-1
865,F,1
866,G,1
867,G,-1
868,X,1
869,K,-1
870,D,1
871,K,-1
872,D,-1
873,D,1
874,D,-1
875,D,1
876,E,-1
877,F,1
878,F,-1
879,E,1
880,E,-1
881,E,1
882,E,-1
883,K,2
884,F,-1
885,F,2
886,F,-1
887,K,-2
888,K,1
889,F,1
890,K,1
891,F,-2
892,F,2
893,K,-2
894,F,-1
895,H,-1
896,H,1
897,H,-1
898,I,-2
899,I,2
900,K,2
901,I,-1
902,X,-1
903,I,1
904,F,-1
905,X,1
906,H,-1
907,H,2
908,E,1
909,X,-1
910,D,-1
911,X,1
912,D,1
913,D,-1
914,F,1
915,D,1
916,D,-1
917,K,-1
918,K,-1
919,K,1
920,K,1
921,K,-2
922,K,1
923,K,1
924,F,-1
925,L,-1
926,X,-1
927,L,1
928,L,-2
929,L,2
930,G,2
931,D,-1
932,D,1
933,D,-1
934,D,1
935,B,-1
936,D,1
937,E,-1
938,G,-1
939,F,1
940,K,-1
941,K,1
942,K,-1
943,B,1
944,A,1
945,K,1
946,F,-1
947,G,1
948,C,1
949,H,-1
950,I,-1
951,A,-1
952,C,-1
953,B,-1
954,I,1
955,I,-2
956,B,1
957,B,-1
958,J,1
959,G,-1
960,H,-1
961,J,-1
962,B,1
963,G,-1
964,I,2
965,I,-2
966,J,1
967,G,1
968,G,-1
969,G,1
970,J,-1
971,J,1
972,G,-1
973,X,1
974,H,1
975,J,-1
976,J,1
977,X,-1
978,L,-1
979,L,-1
980,J,-2
981,J,2
982,J,-2
983,I,2
984,I,-2
985,I,1
986,J,-1
987,J,2
988,J,-2
989,I,-1
990,I,1
991,I,-1
992,J,1
993,J,2
994,L,1
995,J,-1
996,J,1
997,G,1
998,A,1
999,A,-1
1000,J,-1
1001,B,-1
1002,J,1
1003,B,1
1004,L,1
1005,L,-1
1006,A,1
1007,L,1
1008,G,1
1009,G,-1
1010,A,-1
1011,H,-1
1012,A,1
1013,H,1
1014,J,-1
1015,F,1
1016,K,-1
1017,A,-1
1018,J,1
1019,A,1
1020,A,-1
1021,G,-1
1022,X,1
1023,J,-1
1024,K,1
1025,X,-1
1026,G,1
1027,B,-1
1028,J,1
1029,F,-1
1030,G,1
1031,C,1
1032,J,-1
1033,B,1
1034,I,2
1035,H,1
1036,C,-1
1037,G,-1
1038,B,-1
1039,E,1
1040,G,1
1041,E,-1
1042,E,1
1043,C,2
1044,C,-2
1045,E,-1
1046,H,-1
1047,C,1
1048,H,1
1049,H,-1
1050,H,1
1051,E,1
1052,B,1
1053,B,-1
1054,C,1
1055,C,-1
1056,E,-1
1057,C,-1
1058,C,1
1059,B,1
1060,A,1
1061,C,-1
1062,C,1
1063,H,-1
1064,I,-2
1065,J,1
1066,C,-1
1067,A,-1
1068,B,-1
1069,G,-1
1070,B,1
1071,B,-1
1072,F,1
1073,F,-1
1074,G,1
1075,J,-1
1076,C,1
1077,C,-1
1078,B,1
1079,I,1
1080,I,-1
1081,A,1
1082,C,1
1083,C,-1
1084,G,-1
1085,F,1
1086,A,-1
1087,F,-1
1088,I,2
1089,I,-1
1090,G,-1
1091,L,-2
1092,L,1
1093,L,1
1094,L,-2
1095,L,1
1096,I,1
1097,G,1
1098,B,-1
1099,H,1
1100,L,1
1101,E,1
1102,F,1
1103,B,1
1104,G,-1
1105,K,-1
1106,K,1
1107,X,1
1108,K,-2
1109,D,-1
1110,D,1
1111,D,-1
1112,K,1
1113,K,-1
1114,D,1
1115,D,-1
1116,D,1
1117,K,2
1118,K,-2
1119,D,-1
1120,K,2
1121,K,-1
1122,X,-1
1123,X,1
1124,K,1
1125,K,-1
1126,D,1
1127,K,1
1128,F,-1
1129,L,-1
1130,L,1
1131,X,-1
1132,L,-2
1133,J,-1
1134,D,-1
1135,D,1
1136,E,-1
1137,E,1
1138,E,-1
1139,H,-1
1140,H,1
1141,J,-1
1142,J,2
1143,E,1
1144,J,-2
1145,J,1
1146,D,-1
1147,J,-1
1148,J,1
1149,J,1
1150,J,-2
1151,D,1
1152,E,1
1153,D,-1
1154,E,1
1155,D,1
1156,E,-1
1157,E,1
1158,E,-1
1159,D,-1
1160,E,-1
1161,J,1
1162,D,1
1163,D,-1
1164,J,1
1165,D,1
1166,D,-1
1167,D,1
1168,L,1
1169,E,-1
1170,L,1
1171,F,2
1172,G,1
1173,F,-2
1174,H,-2
1175,H,2
1176,B,-1
1177,E,1
1178,L,-1
1179,E,-1
1180,E,1
1181,B,1
1182,D,-1
1183,L,1
1184,B,-1
1185,G,1
1186,G,-1
